molecule,smiles,Erel_eV,
hc_c32h16_0pent_14,c1ccc2c(c1)cc1ccc3cc4ccc5cccc6c7cccc8c2c1c3c(c78)c4c56,0.58,
hc_c32h16_0pent_15,c1ccc2c(c1)cc1c3cccc4c5cccc6ccc7cc8ccc2c1c8c(c43)c7c65,0.296,
hc_c32h16_0pent_16,c1ccc2c(c1)c1cccc3c4cccc5c6cccc7ccc8cc2c(c13)c(c54)c8c76,0.174,
hc_c32h16_0pent_17,c1cc2cc3ccc4cccc5c4c3c3c2c(c1)cc1c2cccc4cccc(c42)c5c13,1.04,
hc_c32h16_0pent_18,c1ccc2c(c1)cc1ccc3ccc4cc5ccc6cccc7cc8c2c1c3c4c8c5c67,0.761,
hc_c32h16_0pent_19,c1ccc2c(c1)cc1c3cc4cccc5ccc6cc7ccc8ccc2c1c8c7c3c6c54,0.38,
hc_c32h16_0pent_20,c1cc2ccc3cc4ccc5c6ccccc6c6cccc7c8cc(c1)c2c3c8c4c5c67,0.344,
hc_c32h16_0pent_21,c1cc2ccc3cc4c5ccccc5c5ccc6cccc7c8cc(c1)c2c3c8c4c5c67,0.384,
hc_c32h16_0pent_22,c1ccc2c(c1)c1cccc3cc4c5cccc6ccc7ccc8cc2c(c31)c4c8c7c65,0.279,
hc_c32h16_0pent_23,c1ccc2c(c1)cc1cc3c4cccc5ccc6ccc7cc8ccc2c1c8c3c7c6c54,0.515,
hc_c32h16_0pent_24,c1ccc2c(c1)cc1ccc3cc4ccc5ccc6cccc7c8cc2c1c3c8c4c5c67,0.371,
hc_c32h16_0pent_25,c1cc2ccc3cc4ccc5c6cccc7cccc(c8cc9cc(c1)c2c3c9c4c58)c76,0.745,
hc_c32h16_0pent_26,c1cc2ccc3cc4cc5cccc6c7ccccc7c7cc8cc(c1)c2c3c8c4c7c56,0.798,
hc_c32h16_0pent_28,c1ccc2c(c1)cc1ccc3cc4cc5cccc6ccc7cc8cc2c1c3c8c4c7c65,0.819,
hc_c32h16_0pent_3,c1ccc2c(c1)cc1c3cccc4cc5cccc6c7cccc8cc2c1c(c87)c(c56)c43,1.039,
hc_c32h16_0pent_36,c1cc2ccc3c4c5cccc6cccc(c7ccc8ccc9cc(c1)c2c3c9c8c74)c65,0.995,
hc_c32h16_0pent_37,c1cc2ccc3c4ccc5cccc6cc7c8ccccc8c8cc(c1)c2c3c8c7c4c56,0.524,
hc_c32h16_0pent_38,c1ccc2c(c1)cc1ccc3c4ccc5cccc6cc7ccc8cc2c1c3c8c7c4c56,0.68,65.6098
hc_c32h16_0pent_39,c1ccc2c(c1)cc1cc3ccc4cc5cccc6ccc7c8ccc2c1c8c3c4c7c65,0.714,
hc_c32h16_0pent_4,c1ccc2c(c1)cc1ccc3cc4cccc5c6cccc7ccc8c2c1c3c(c45)c8c76,0.71,
hc_c32h16_0pent_40,c1cc2ccc3c4c5ccccc5c5cccc6cc7ccc8cc(c1)c2c3c8c7c4c65,0.813,
hc_c32h16_0pent_41,c1ccc2c(c1)cc1ccc3ccc4c5cccc6ccc7ccc8c2c1c3c4c8c7c65,0.524,
hc_c32h16_0pent_42,c1ccc2c(c1)cc1c3ccc4ccc5cccc6c7ccc8ccc2c1c8c7c3c4c56,0.2,
hc_c32h16_0pent_43,c1ccc2c(c1)c1cccc3c4ccc5ccc6cccc7c8ccc2c(c13)c8c4c5c67,0.11,
hc_c32h16_0pent_44,c1ccc2c(c1)c1ccc3cccc4c5ccc6ccc7cccc8c7c6c5c(c28)c1c34,0.508,
hc_c32h16_0pent_45,c1cc2cccc3c4cc5ccc6ccc7cccc8c9ccc(c(c1)c23)c4c9c5c6c78,0.44,
hc_c32h16_0pent_46,c1ccc2c(c1)c1ccc3ccc4c5ccccc5c5ccc6ccc2c2c6c5c4c3c12,0.043,
hc_c32h16_0pent_47,c1ccc2c(c1)c1ccc3ccc4ccc5c6ccccc6c6ccc2c2c1c3c4c5c62,0,
hc_c32h16_0pent_48,c1ccc2c(c1)c1ccc3ccc4ccc5ccc6c7ccccc7c2c2c1c3c4c5c62,0.315,
hc_c32h16_0pent_49,c1ccc2c(c1)ccc1c3ccc4ccc5ccc6ccc7ccc(c21)c1c7c6c5c4c31,0.265,
hc_c32h16_0pent_5,c1ccc2c(c1)cc1c3ccc4cccc5c6cccc7cc8ccc2c1c8c(c76)c3c45,0.558,
hc_c32h16_0pent_50,c1ccc2cc3c(cc2c1)c1ccc2ccc4ccc5ccc6ccc3c3c6c5c4c2c13,0.128,
hc_c32h16_0pent_51,c1cc2ccc3c4ccc5cc6cccc7ccc8cc(c9ccc(c1)c2c39)c4c5c8c76,0.658,
hc_c32h16_0pent_53,c1cc2ccc3ccc4c5cc6cccc7ccc8ccc(c9cc(c1)c2c3c49)c5c8c76,0.482,
hc_c32h16_0pent_54,c1cc2ccc3ccc4c5ccc6ccc7cccc8cc(c9cc(c1)c2c3c49)c5c6c78,0.501,
hc_c32h16_0pent_55,c1cc2ccc3c4ccc5ccc6ccc7cccc8c7c6c5c4c8c4ccc(c1)c2c34,0.57,
hc_c32h16_0pent_6,c1ccc2c(c1)c1cccc3c4ccc5cccc6c7cccc8cc2c(c13)c(c87)c4c56,0.337,
hc_c32h16_0pent_7,c1ccc2c(c1)cc1c3cccc4ccc5c6cccc7ccc8cc2c1c(c8c76)c5c43,0.377,
hc_c32h16_0pent_8,c1ccc2c(c1)cc1cc3ccc4cccc5c6ccc7cccc8c7c6c(c3c45)c1c28,0.866,
hc_c32h16_0pent_9,c1ccc2c(c1)cc1ccc3c4cccc5ccc6cc7cccc8c7c(c6c54)c3c1c28,0.828,
hc_c32h18_0pent_1,c1ccc2c(c1)ccc1c3cccc4c5ccccc5c5cc6ccccc6c(c21)c5c43,0.531,
hc_c32h18_0pent_10,c1ccc2c(c1)ccc1c2c2cccc3c4ccccc4c4cc5ccccc5c1c4c32,0.648,
hc_c32h18_0pent_100,c1ccc2c(c1)ccc1ccc3cc4c(cc5ccc6cccc7ccc4c5c67)cc3c12,0.518,
hc_c32h18_0pent_101,c1ccc2cc3c(cc2c1)cc1c2c4ccccc4ccc2c2cccc4ccc3c1c42,0.599,
hc_c32h18_0pent_102,c1ccc2cc3c(cc2c1)cc1c2cc4ccccc4cc2c2cccc4ccc3c1c42,0.401,
hc_c32h18_0pent_103,c1ccc2cc3c(cc2c1)cc1c2ccc4ccccc4c2c2cccc4ccc3c1c42,0.619,
hc_c32h18_0pent_104,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2c4ccccc4cc4ccc3c1c42,0.759,
hc_c32h18_0pent_105,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2cccc4c5ccccc5c3c1c24,0.564,
hc_c32h18_0pent_106,c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5cccc6ccc(c3cc12)c4c65,0.185,
hc_c32h18_0pent_107,c1ccc2c(c1)ccc1cc3c(cc12)cc1c2ccccc2c2cccc4ccc3c1c42,0.177,
hc_c32h18_0pent_108,c1ccc2cc3c(cc2c1)cc1ccc2c4c(ccc5ccccc54)cc4ccc3c1c42,0.75,
hc_c32h18_0pent_109,c1ccc2cc3c(cc2c1)cc1ccc2c4cc5ccccc5cc4cc4ccc3c1c42,0.842,
hc_c32h18_0pent_11,c1ccc2c(c1)ccc1c3cccc4c5c6ccccc6ccc5c5cccc(c21)c5c34,0.649,
hc_c32h18_0pent_110,c1ccc2cc3c(cc2c1)cc1ccc2c4ccc5ccccc5c4cc4ccc3c1c42,0.514,
hc_c32h18_0pent_111,c1ccc2cc3c(cc2c1)cc1ccc2c4ccccc4cc4c5ccccc5c3c1c24,0.786,
hc_c32h18_0pent_112,c1ccc2c(c1)ccc1cc3cc4ccc5c6ccccc6cc6ccc(c3cc12)c4c65,0.443,
